"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.709133374E2,6.501159658E1,2.546288680E1,5.597083068E0,1.409999967E0,3.050000000E2,3.790092468E0,2.500000000E0
1.719130862E2,6.501160562E1,2.546286455E1,5.053865136E0,1.250000000E0,3.152999878E2,3.790092468E0,2.500000000E0
1.729132626E2,6.501161561E1,2.546284107E1,4.479885033E0,1.429999948E0,3.172000122E2,3.790092468E0,2.500000000E0
1.739144456E2,6.501162666E1,2.546281976E1,4.185506723E0,1.429999948E0,3.222000122E2,3.790092468E0,2.500000000E0
1.749094367E2,6.501163518E1,2.546279284E1,4.486771087E0,1.509999990E0,3.025000000E2,3.790092468E0,2.500000000E0
1.759120647E2,6.501164280E1,2.546276857E1,4.751720064E0,1.409999967E0,3.062000122E2,3.790092468E0,2.500000000E0
1.769098011E2,6.501165175E1,2.546274738E1,4.588812298E0,1.389999986E0,3.150000000E2,3.790092468E0,2.500000000E0
1.779108510E2,6.501166164E1,2.546272633E1,4.677369022E0,1.409999967E0,3.167000122E2,3.790092468E0,2.500000000E0
1.789132648E2,6.501167152E1,2.546271169E1,4.493160086E0,1.309999943E0,3.267000122E2,3.790092468E0,2.500000000E0
1.799146707E2,6.501168265E1,2.546269565E1,4.326162483E0,1.429999948E0,3.287999878E2,3.790092468E0,2.500000000E0
1.809114997E2,6.501169331E1,2.546267800E1,4.261948151E0,1.429999948E0,3.305000000E2,3.790092468E0,2.500000000E0
1.819118856E2,6.501170366E1,2.546266169E1,4.578532372E0,1.399999976E0,3.337999878E2,3.790092468E0,2.500000000E0
1.829113702E2,6.501171569E1,2.546264324E1,4.678624096E0,1.440000057E0,3.315000000E2,3.790092468E0,2.500000000E0
1.839140422E2,6.501172733E1,2.546262580E1,5.027068091E0,1.409999967E0,3.317000122E2,3.790092468E0,2.500000000E0
1.849145331E2,6.501173731E1,2.546260680E1,5.864831465E0,1.409999967E0,3.272999878E2,3.790092468E0,2.511132717E0
1.859130350E2,6.501175003E1,2.546258948E1,5.038897610E0,1.509999990E0,3.373999939E2,3.790092468E0,2.564566374E0
1.869146297E2,6.501176072E1,2.546257001E1,5.284741731E0,1.370000005E0,3.377999878E2,3.790092468E0,2.500000000E0
1.879121589E2,6.501177453E1,2.546254741E1,5.084051226E0,1.649999976E0,3.295000000E2,3.790092468E0,2.658674955E0
1.889098773E2,6.501178863E1,2.546252995E1,5.128295050E0,1.509999990E0,3.407000122E2,3.790092468E0,2.618226528E0
1.899137640E2,6.501180136E1,2.546251006E1,5.074272630E0,1.490000010E0,3.257999878E2,3.790092468E0,2.770237923E0
1.909136890E2,6.501181308E1,2.546248821E1,5.304430150E0,1.580000043E0,3.237000122E2,3.790092468E0,2.723345280E0
1.919136277E2,6.501182430E1,2.546246157E1,5.529582644E0,1.590000033E0,3.212000122E2,3.790092468E0,2.592445135E0
1.929138499E2,6.501183512E1,2.546244093E1,4.918432002E0,1.429999948E0,3.260000000E2,3.790092468E0,2.500000000E0
1.939091275E2,6.501184561E1,2.546242903E1,3.872223505E0,1.440000057E0,3.117999878E2,3.790092468E0,2.500000000E0
1.949130476E2,6.501185675E1,2.546241646E1,3.414820863E0,1.440000057E0,3.135000000E2,3.790092468E0,2.500000000E0
1.959133683E2,6.501186665E1,2.546239765E1,3.162374316E0,1.429999948E0,3.135000000E2,3.790092468E0,2.500000000E0
1.969161675E2,6.501187577E1,2.546237655E1,3.241226738E0,1.470000029E0,3.173999939E2,3.790092468E0,2.701274157E0
1.979137455E2,6.501188680E1,2.546235717E1,2.540293387E0,1.470000029E0,3.275000000E2,3.790092468E0,2.895504713E0
1.989140224E2,6.501189637E1,2.546233392E1,2.393132299E0,1.480000019E0,3.163999939E2,3.790092468E0,3.076872826E0
1.999141317E2,6.501190454E1,2.546230693E1,2.618102838E0,1.580000043E0,3.092000122E2,3.790092468E0,3.049463272E0
2.009090982E2,6.501191475E1,2.546228489E1,2.559991881E0,1.460000038E0,3.170000000E2,3.790092468E0,3.236426830E0
2.019096999E2,6.501192389E1,2.546225917E1,2.835071996E0,1.480000019E0,3.098999939E2,3.790092468E0,3.504841328E0
2.029114528E2,6.501193313E1,2.546223600E1,3.183028228E0,1.470000029E0,3.173999939E2,3.790092468E0,3.559581757E0
2.039138688E2,6.501194237E1,2.546221014E1,3.514016497E0,1.480000019E0,3.126000061E2,3.790092468E0,3.816241741E0
2.049291532E2,6.501194535E1,2.546217492E1,3.338597836E0,1.470000029E0,2.932999878E2,3.790092468E0,3.670008421E0
2.059158916E2,6.501194979E1,2.546214258E1,3.461640726E0,1.440000057E0,2.947999878E2,3.790092468E0,3.759133816E0
2.069100659E2,6.501195486E1,2.546210904E1,3.731106629E0,1.570000052E0,2.958999939E2,3.790092468E0,3.722096443E0
2.079098219E2,6.501195974E1,2.546207548E1,3.978844088E0,1.460000038E0,2.908999939E2,3.790092468E0,3.401899099E0
2.089105817E2,6.501196526E1,2.546204062E1,4.661029449E0,1.440000057E0,2.957000122E2,3.790092468E0,3.105853558E0
2.099140056E2,6.501196956E1,2.546200458E1,5.246718618E0,1.470000029E0,2.895000000E2,3.790092468E0,2.810543060E0
2.109138850E2,6.501197356E1,2.546196849E1,5.849802918E0,1.429999948E0,2.912000122E2,3.790092468E0,2.761995316E0
2.119118085E2,6.501197839E1,2.546193941E1,5.675604674E0,1.389999986E0,2.961000061E2,3.790092468E0,2.527555704E0
2.129110524E2,6.501198406E1,2.546191026E1,5.406191256E0,1.450000048E0,2.985000000E2,3.790092468E0,2.616120815E0
2.139099490E2,6.501198831E1,2.546188393E1,4.482786886E0,1.549999952E0,2.912999878E2,3.790092468E0,2.500000000E0
2.149138360E2,6.501199052E1,2.546186028E1,3.182979684E0,1.490000010E0,2.912000122E2,3.790092468E0,2.503041744E0
2.159132216E2,6.501198815E1,2.546182697E1,2.426874746E0,1.509999990E0,2.722999878E2,3.790092468E0,2.659031630E0
2.169138988E2,6.501198776E1,2.546179917E1,2.687798237E0,1.409999967E0,2.770000000E2,3.790092468E0,2.500000000E0
2.179130191E2,6.501199167E1,2.546177472E1,2.299001064E0,1.450000048E0,2.915000000E2,3.790092468E0,2.500000000E0
2.189099530E2,6.501199620E1,2.546174976E1,2.692552247E0,1.389999986E0,2.917999878E2,3.790092468E0,2.500000000E0
2.199131194E2,6.501200078E1,2.546172232E1,2.949079312E0,1.450000048E0,2.895000000E2,3.790092468E0,2.500000000E0
2.209115101E2,6.501200638E1,2.546169579E1,2.836770596E0,1.379999995E0,2.931000061E2,3.790092468E0,2.500000000E0
2.219126206E2,6.501200834E1,2.546166811E1,3.482763988E0,1.360000014E0,2.802000122E2,3.790092468E0,2.500000000E0
2.229135161E2,6.501201302E1,2.546163906E1,3.651949591E0,1.429999948E0,2.896000061E2,3.790092468E0,2.500000000E0
2.239098285E2,6.501201731E1,2.546160988E1,3.647307211E0,1.399999976E0,2.862000122E2,3.790092468E0,2.500000000E0
2.249124315E2,6.501202540E1,2.546158507E1,2.968652437E0,1.500000000E0,3.091000061E2,3.790092468E0,2.500000000E0
2.259093665E2,6.501203260E1,2.546155771E1,3.288532985E0,1.429999948E0,3.067999878E2,3.790092468E0,3.028439045E0
2.269134162E2,6.501203781E1,2.546152616E1,3.606643987E0,1.440000057E0,2.953999939E2,3.790092468E0,3.383028984E0
2.279141950E2,6.501204942E1,2.546150326E1,3.009042673E0,1.639999986E0,3.273999939E2,3.790092468E0,3.720665932E0
2.289137790E2,6.501205510E1,2.546147186E1,3.498479187E0,1.500000000E0,2.947999878E2,3.790092468E0,3.934030294E0
2.299130757E2,6.501206087E1,2.546144072E1,3.622742345E0,1.440000057E0,2.967000122E2,3.792612076E0,4.206203938E0
2.309121343E2,6.501206519E1,2.546140849E1,2.584835577E0,1.440000057E0,2.937000122E2,3.790092468E0,4.152151585E0
2.319131652E2,6.501207171E1,2.546137670E1,1.574332773E0,1.450000048E0,3.033999939E2,3.831437826E0,4.325190544E0
2.329136532E2,6.501207839E1,2.546134357E1,7.673820590E-1,1.490000010E0,2.991000061E2,3.790092468E0,4.231256962E0
2.339147396E2,6.501208582E1,2.546130900E1,-2.698546914E-1,1.549999952E0,3.038999939E2,3.790092468E0,4.001933575E0
2.349127705E2,6.501209330E1,2.546127451E1,-2.833487802E-1,1.480000019E0,3.017999878E2,3.790092468E0,3.745929956E0
2.359125768E2,6.501209923E1,2.546124410E1,-6.356561551E-2,1.480000019E0,3.070000000E2,3.790092468E0,3.556169033E0
2.369126254E2,6.501210630E1,2.546121851E1,-4.209920261E-1,1.480000019E0,3.201000061E2,3.790092468E0,3.350333214E0
2.379097703E2,6.501210960E1,2.546119016E1,-6.283317226E-1,1.259999990E0,2.942999878E2,3.790092468E0,3.024875879E0
2.389126010E2,6.501211251E1,2.546116425E1,-8.536764678E-1,1.149999976E0,2.952999878E2,3.790092468E0,2.724483728E0
2.399138363E2,6.501211573E1,2.546113765E1,-9.886283153E-1,1.269999981E0,2.913999939E2,3.790092468E0,2.500000000E0
2.409161830E2,6.501212093E1,2.546110500E1,-1.177353328E0,1.419999957E0,2.898999939E2,3.790092468E0,2.500000000E0
2.419119741E2,6.501212732E1,2.546107375E1,-1.150868741E0,1.460000038E0,2.996000061E2,3.790092468E0,2.657073498E0
2.429140715E2,6.501213409E1,2.546104493E1,-1.147882667E0,1.389999986E0,3.027999878E2,3.790092468E0,2.725260496E0
2.439233031E2,6.501213912E1,2.546101737E1,-9.920637994E-1,1.450000048E0,3.000000000E2,3.790092468E0,2.835172892E0
2.449100965E2,6.501214569E1,2.546099092E1,-1.234866056E0,1.450000048E0,3.030000000E2,3.790092468E0,2.711016417E0
2.459146471E2,6.501215190E1,2.546096455E1,-1.524909378E0,1.450000048E0,3.037000122E2,3.790092468E0,2.519267797E0
2.469130480E2,6.501215992E1,2.546093885E1,-1.490795640E0,1.480000019E0,3.050000000E2,3.790092468E0,2.500000000E0
2.479144236E2,6.501216811E1,2.546091223E1,-1.964006251E0,1.440000057E0,3.070000000E2,3.790092468E0,2.500000000E0
2.489132281E2,6.501217867E1,2.546088853E1,-1.719566208E0,1.450000048E0,3.078999939E2,3.790092468E0,2.500000000E0
2.499098953E2,6.501218901E1,2.546086438E1,-1.943815077E0,1.509999990E0,3.050000000E2,3.790092468E0,2.500000000E0
2.509118665E2,6.501219521E1,2.546083116E1,-1.117708977E0,1.559999943E0,2.998999939E2,3.790092468E0,2.500000000E0
2.519104734E2,6.501220146E1,2.546080042E1,-1.086097351E0,1.450000048E0,2.993999939E2,3.790092468E0,2.500000000E0
2.529136704E2,6.501220776E1,2.546077181E1,-5.151179193E-1,1.480000019E0,3.020000000E2,3.790092468E0,2.500000000E0
2.539139208E2,6.501221615E1,2.546074422E1,-5.899522139E-1,1.379999995E0,3.037000122E2,3.790092468E0,2.500000000E0
2.549126681E2,6.501222315E1,2.546071571E1,-6.760775390E-1,1.429999948E0,3.037999878E2,3.790092468E0,2.500000000E0
2.559166146E2,6.501223201E1,2.546069153E1,-1.041988436E0,1.460000038E0,3.143999939E2,3.790092468E0,2.500000000E0
2.569227604E2,6.501224126E1,2.546066902E1,-1.032411087E0,1.409999967E0,3.118999939E2,3.790092468E0,2.500000000E0
2.579139418E2,6.501225132E1,2.546064915E1,-1.274054568E0,1.370000005E0,3.217999878E2,3.790092468E0,2.500000000E0
2.589121526E2,6.501226198E1,2.546063248E1,-1.045788389E0,1.320000052E0,3.353999939E2,3.790092468E0,2.500000000E0
2.599135961E2,6.501227386E1,2.546062477E1,-2.879200012E-1,1.360000014E0,3.522999878E2,3.790092468E0,2.500000000E0
2.609115577E2,6.501228551E1,2.546062726E1,2.300199953E-1,1.409999967E0,8.500000000E0,3.790092468E0,2.500000000E0
2.619091846E2,6.501229563E1,2.546063772E1,1.171017714E-1,1.360000014E0,2.489999962E1,3.790092468E0,2.500000000E0
2.629100451E2,6.501230679E1,2.546064968E1,4.086537935E-2,1.350000024E0,2.589999962E1,3.790092468E0,2.500000000E0
2.639138110E2,6.501231592E1,2.546066941E1,-3.594053226E-1,1.399999976E0,4.079999924E1,3.790092468E0,2.500000000E0
2.649133067E2,6.501232684E1,2.546068484E1,-4.304533883E-1,1.340000033E0,2.750000000E1,3.790092468E0,2.500000000E0
2.659142832E2,6.501233646E1,2.546069774E1,-5.069546419E-2,1.340000033E0,2.920000076E1,3.790092468E0,2.500000000E0
2.669104970E2,6.501234566E1,2.546071162E1,1.931373990E-1,1.370000005E0,3.160000038E1,3.790092468E0,2.500000000E0
2.679134639E2,6.501235457E1,2.546072901E1,4.247635910E-1,1.350000024E0,3.609999847E1,3.790092468E0,2.500000000E0
2.689130376E2,6.501236254E1,2.546074492E1,-7.359042567E-2,1.259999990E0,3.450000000E1,3.790092468E0,2.500000000E0
2.699132839E2,6.501237283E1,2.546076119E1,-5.436860382E-1,1.289999962E0,3.110000038E1,3.790092468E0,2.500000000E0
2.709117739E2,6.501238294E1,2.546077730E1,-5.198851076E-1,1.350000024E0,3.309999847E1,3.790092468E0,2.500000000E0
2.719107889E2,6.501239331E1,2.546079634E1,-5.924585825E-1,1.360000014E0,4.000000000E1,3.790092468E0,2.500000000E0
2.729132109E2,6.501240384E1,2.546081166E1,-4.968805260E-1,1.399999976E0,3.150000000E1,3.790092468E0,2.500000000E0
2.739129100E2,6.501241474E1,2.546083002E1,-1.495934137E-1,1.330000043E0,3.390000153E1,3.790092468E0,2.500000000E0
2.749141565E2,6.501242618E1,2.546084759E1,2.441969178E-3,1.500000000E0,3.679999924E1,3.790092468E0,2.500000000E0
2.759144394E2,6.501243855E1,2.546085937E1,3.117031459E-1,1.399999976E0,3.420000076E1,3.790092468E0,2.500000000E0
2.769144970E2,6.501245152E1,2.546087038E1,2.765426494E-1,1.379999995E0,3.209999847E1,3.790092468E0,2.500000000E0
2.779126959E2,6.501246150E1,2.546088772E1,-1.237895816E-1,1.269999981E0,4.179999924E1,3.790092468E0,2.500000000E0
2.789134356E2,6.501247209E1,2.546090646E1,1.327994371E-1,1.370000005E0,3.620000076E1,3.790092468E0,2.500000000E0
2.799153215E2,6.501248175E1,2.546092593E1,3.709394595E-2,1.350000024E0,3.429999924E1,3.790092468E0,2.500000000E0
2.809132158E2,6.501249206E1,2.546093994E1,-3.517468230E-2,1.350000024E0,3.240000153E1,3.790092468E0,2.500000000E0
2.819096196E2,6.501250265E1,2.546095608E1,2.982479814E-2,1.350000024E0,3.520000076E1,3.790092468E0,2.500000000E0
2.829143893E2,6.501251381E1,2.546097091E1,1.883908601E-1,1.379999995E0,3.370000076E1,3.790092468E0,2.500000000E0
2.839143668E2,6.501252414E1,2.546098557E1,-2.728547800E-1,1.299999952E0,3.470000076E1,3.790092468E0,2.500000000E0
2.849131448E2,6.501253433E1,2.546100799E1,-2.676691530E-1,1.419999957E0,4.270000076E1,3.790092468E0,2.500000000E0
2.859149199E2,6.501254470E1,2.546102494E1,-2.708457985E-1,1.409999967E0,3.390000153E1,3.790092468E0,2.500000000E0
2.869131611E2,6.501255563E1,2.546103649E1,2.882938523E-1,1.340000033E0,3.250000000E1,3.790092468E0,2.500000000E0
2.879110589E2,6.501256681E1,2.546105059E1,-3.606352608E-1,1.230000019E0,3.420000076E1,3.790092468E0,2.500000000E0
2.889143640E2,6.501258019E1,2.546106257E1,-4.643060978E-2,1.460000038E0,2.520000076E1,3.790092468E0,2.500000000E0
2.899129896E2,6.501259002E1,2.546107593E1,-1.927347403E-1,1.190000057E0,3.570000076E1,3.790092468E0,2.500000000E0
2.909131722E2,6.501260040E1,2.546109542E1,-4.597661890E-1,1.440000057E0,4.440000153E1,3.790092468E0,2.500000000E0
2.919143727E2,6.501261275E1,2.546110957E1,-5.042645982E-1,1.379999995E0,3.320000076E1,3.790092468E0,2.500000000E0
2.929135197E2,6.501262442E1,2.546112486E1,-7.758134443E-1,1.299999952E0,3.450000000E1,3.790092468E0,2.500000000E0
2.939127245E2,6.501263761E1,2.546114020E1,-8.916621914E-1,1.379999995E0,2.920000076E1,3.790092468E0,2.500000000E0
2.949149218E2,6.501264984E1,2.546115778E1,-7.180206620E-1,1.440000057E0,3.229999924E1,3.790092468E0,2.500000000E0
2.959155492E2,6.501266117E1,2.546117635E1,-3.673157254E-1,1.419999957E0,2.920000076E1,3.790092468E0,2.500000000E0
2.969145939E2,6.501267219E1,2.546119406E1,-1.057260143E0,1.340000033E0,3.290000153E1,3.790092468E0,2.500000000E0
2.979136551E2,6.501268314E1,2.546121407E1,-9.237180431E-1,1.379999995E0,3.579999924E1,3.790092468E0,2.500000000E0
2.989157768E2,6.501269375E1,2.546123249E1,-9.427027788E-1,1.429999948E0,3.540000153E1,3.790092468E0,2.500000000E0
2.999158027E2,6.501270553E1,2.546124766E1,-9.848205214E-1,1.389999986E0,3.020000076E1,3.790092468E0,2.500000000E0
3.009114273E2,6.501271701E1,2.546125927E1,-8.658055873E-1,1.340000033E0,2.589999962E1,3.790092468E0,2.500000000E0
3.019138805E2,6.501272645E1,2.546127650E1,-1.075280676E0,1.340000033E0,4.050000000E1,3.790092468E0,2.500000000E0
3.029131514E2,6.501273465E1,2.546129627E1,-1.276393289E0,1.389999986E0,4.490000153E1,3.790092468E0,2.500000000E0
3.039132308E2,6.501274369E1,2.546130545E1,-1.517423969E0,1.200000048E0,3.270000076E1,3.790092468E0,2.500000000E0
3.049167266E2,6.501275504E1,2.546131104E1,-1.617769761E0,1.370000005E0,2.689999962E1,3.790092468E0,2.522642136E0
3.059154557E2,6.501276721E1,2.546132514E1,-1.429663120E0,1.360000014E0,3.150000000E1,3.790092468E0,2.522551537E0
3.069143868E2,6.501277866E1,2.546134317E1,-1.051980725E0,1.330000043E0,3.559999847E1,3.790092468E0,2.547852755E0
3.079141785E2,6.501279011E1,2.546136275E1,-8.726014434E-1,1.370000005E0,3.370000076E1,3.790092468E0,2.662766695E0
3.089130465E2,6.501280102E1,2.546138184E1,-8.195489704E-2,1.360000014E0,3.370000076E1,3.790092468E0,2.602874994E0
3.099156566E2,6.501281025E1,2.546141001E1,-6.263290291E-1,1.419999957E0,3.620000076E1,3.790092468E0,2.630246401E0
3.109147549E2,6.501282093E1,2.546143066E1,-6.852916573E-1,1.360000014E0,3.700000000E1,3.790092468E0,2.625578403E0
3.119152499E2,6.501283359E1,2.546145061E1,-2.418136945E-1,1.470000029E0,3.039999962E1,3.790092468E0,2.541194916E0
3.129152094E2,6.501284585E1,2.546147238E1,-3.456376936E-1,1.450000048E0,3.390000153E1,3.790092468E0,2.500000000E0
3.139131200E2,6.501285745E1,2.546148998E1,-1.767566546E-1,1.419999957E0,3.350000000E1,3.790092468E0,2.500000000E0
3.149128788E2,6.501286864E1,2.546150942E1,-1.912249355E-1,1.460000038E0,2.920000076E1,3.790092468E0,2.500000000E0
3.159141414E2,6.501287988E1,2.546152815E1,-4.213304928E-1,1.389999986E0,3.200000000E1,3.790092468E0,2.500000000E0
3.169155122E2,6.501289052E1,2.546155286E1,-8.077464283E-1,1.429999948E0,3.959999847E1,3.790092468E0,2.500000000E0
3.179155372E2,6.501290110E1,2.546157492E1,-7.701512979E-1,1.409999967E0,3.890000153E1,3.790092468E0,2.500000000E0
3.189129391E2,6.501291184E1,2.546159445E1,-1.143994397E0,1.450000048E0,3.209999847E1,3.790092468E0,2.500000000E0
3.199126108E2,6.501292194E1,2.546161778E1,-6.510156891E-1,1.399999976E0,3.940000153E1,3.790092468E0,2.500000000E0
3.209116735E2,6.501293060E1,2.546163889E1,-1.042069785E0,1.269999981E0,4.390000153E1,3.790092468E0,2.500000000E0
3.219124761E2,6.501293849E1,2.546166116E1,-1.314654262E0,1.330000043E0,4.490000153E1,3.790092468E0,2.500000000E0
3.229156007E2,6.501294846E1,2.546168477E1,-7.098590766E-1,1.399999976E0,4.559999847E1,3.790092468E0,2.500000000E0
3.239260696E2,6.501295148E1,2.546170516E1,-8.307084052E-1,6.499999762E-1,6.990000153E1,3.790092468E0,2.500000000E0
3.249156721E2,6.501295538E1,2.546173488E1,-3.439524307E-1,1.360000014E0,7.530000305E1,3.790092468E0,2.500000000E0
3.259145745E2,6.501295186E1,2.546176457E1,2.445924228E-2,1.409999967E0,1.084000015E2,3.790092468E0,2.500000000E0
3.269138561E2,6.501294665E1,2.546179539E1,-1.182977850E-1,1.330000043E0,1.083000031E2,3.790092468E0,2.500000000E0
3.279151849E2,6.501294078E1,2.546182426E1,8.751708147E-2,1.309999943E0,1.124000015E2,3.790092468E0,2.500000000E0
3.289137981E2,6.501293189E1,2.546184605E1,5.549903269E-1,1.299999952E0,1.250000000E2,3.790092468E0,2.500000000E0
3.299145896E2,6.501292243E1,2.546186769E1,1.475248168E-1,1.360000014E0,1.305000000E2,3.790092468E0,2.500000000E0
3.309128388E2,6.501291312E1,2.546188740E1,-1.513593457E-1,1.320000052E0,1.310000000E2,3.790092468E0,2.500000000E0
3.319142126E2,6.501290309E1,2.546190982E1,-3.733997762E-1,1.500000000E0,1.356999969E2,3.790092468E0,2.500000000E0
3.329140692E2,6.501289663E1,2.546193201E1,-7.228830092E-1,1.320000052E0,1.229000015E2,3.790092468E0,2.500000000E0
3.339143869E2,6.501288981E1,2.546195626E1,-7.236110742E-1,1.330000043E0,1.214000015E2,3.790092468E0,2.500000000E0
3.349130774E2,6.501288440E1,2.546198325E1,-7.063341188E-1,1.350000024E0,1.166999969E2,3.790092468E0,2.500000000E0
3.359144980E2,6.501287735E1,2.546200626E1,-9.479069102E-1,1.279999971E0,1.255000000E2,3.790092468E0,2.500000000E0
